idCliente|NIF|Nombre|Apellido1|Apellido2|Sexo|Direccion|Municipio|Provincia|CP|Comunidad|Movil|Telefono|Correo|Nacimiento
159|20880032B|José Antonio|Gómez|Pombo|H|Paseo Acrobacia Resplandeciente 118 bis, 3º 2ª|Torrelavega|Cantabria|39058|Cantabria||942-885-919|jgomez18@correo.com|12/07/1997
160|48158143F|María Dolores|Ortega|Torres|M|Plaza  Abrasivo Sonoro 74, 3º 6ª|Santander|Cantabria|39980|Cantabria|661477843|942677778|mariadoloresortega30@correo.net|16/08/1996
161|42343207T|Alberto|Alcalde|García|H|Avenida Composición Bondadosa 155, 5|Sevilla|Sevilla|41683|Andalucía|667 505 414|956 271 646|albertoalcalde10@correo.com|07/12/1972
162|01066446M|Antonia|Ruiz|Buzón|M|Calle Adversidad 234, 6|Sevilla|Sevilla|41138|Andalucía||959 502 347|antruiz@mail.es|20/06/1981
163|56241656D|Antonio|Ortega|Márquez|H|Avenida  Zoología 218, 2|Sevilla|Sevilla|41168|Andalucía|||antortega86@correo.net|08/02/1964
164|96046908N|Eva|Leal|Salgueiro|M|Avenida de la Consigna Agotada 100, 4|Sevilla|Sevilla|41595|Andalucía|669-445-279|953-366-994|evaleal@mail.es|08/11/1980
165|42535078M|Jesús|Borras|Fernández|H|Calle Hecho 295, 5º|La Rinconada|Sevilla|41613|Andalucía|661-986-497|957-218-524|j.borras@correo.com|10/02/1979
166|54467776G|José Antonio|Domínguez|Reguera|H|Calle Adaptación 252, 2º|Lebrija|Sevilla|41135|Andalucía|||jdominguez14@correo.net|15/05/1934
167|15718619M|José María|Rodríguez|Domínguez|H|Plaza la Transcripción 17, 4º|Sevilla|Sevilla|41904|Andalucía|||josrodriguez24@email.es|23/07/1952
168|60012357K|Julián|Marrero|Jiménez|H|Avenida Decisión Azul 246, 1|Sevilla|Sevilla|41304|Andalucía|685147362|952999066|julian.marrero@mail.net|16/04/1987
169|19533673A|Luis|Carrasco|Castañeda|H|Calle el Divisible 154, 5|Tomares|Sevilla|41711|Andalucía|652082291|952939113|luis.carrasco@correo.com|27/12/1978
170|26524464J|Pablo|Quevedo|Del Campo|H|Paseo Vegetación 239, 1º 1ª|Sevilla|Sevilla|41516|Andalucía|649978515|958045906|pabquevedo56@correo.net|18/06/1974
171|37137099B|Teresa|De la Hoz|Trujillo|M|Calle Bifurcación Vieja 161, 4º|San Juan de Aznalfarache|Sevilla|41376|Andalucía|||terdelahoz88@correo.com|16/01/1955
172|88807474N|Álvaro|Jiménez|Hermida|H|Plaza Prohibición Veloz 108, 5|Sevilla|Sevilla|41764|Andalucía|||ajimenez16@email.es|16/10/1952
173|48034094C|Francisco|Viejo|Ramos|H|Avenida de  Transmisión Bonita 133 bis, 6º|Amposta|Tarragona|43773|Cataluña|613-282-324||franciscoviejo@mail.com|24/02/1953
174|71497385E|Jesús|Monje|Morente|H|Plaza de  Virus 296, 3º|Tarragona|Tarragona|43658|Cataluña|600449388|977428175|monje73@mail.com|16/01/1981
175|22519763A|Miguel Ángel|Sevilla|Feijoo|H|Calle del Triptongo 240, 4º|Tarragona|Tarragona|43568|Cataluña|672857519||miguelangelsevilla@correo.com|12/02/1933
176|07155566J|Yolanda|Martin|Navarro|M|Paseo de  Elaboración Eficiente 171, 4|Tarragona|Tarragona|43814|Cataluña|696962983||yolmartin@email.com|08/11/1969
177|97114999Y|Rafael|Rodríguez|Lujan|H|Avenida de  Hidrólisis Santa 234, 4|Talavera de la Reina|Toledo|45988|Castilla La Mancha|606330776|925853919|rrodriguez@email.es|06/06/1997
178|44041640K|Alejandro|Reyes|López|H|Avenida  Microorganismo 171, 4º|Oliva|Valencia|46396|Valencia|||alereyes@email.es|07/09/1964
179|16713528A|Ana María|Alfonso|Barquero|M|Calle la Partenogénesis 256, 3|Játiva|Valencia|46872|Valencia|657 250 485||analfonso88@email.com|28/12/1955
180|28610063H|Carmelo|Valverde|Fernández|H|Paseo de la Divulgación 17, 6º|Valencia|Valencia|46416|Valencia|608 073 615|966 099 583|carvalverde59@correo.com|13/04/1993
181|99366229L|Dolores|Zhu|Ayllón|M|Plaza Derivación 196, 3|Valencia|Valencia|46237|Valencia|658-003-019||dolzhu52@mail.net|20/01/1954
182|99093620Y|Fernando|Rodrigo|Ribera|H|Paseo Reversible 20, 6|Valencia|Valencia|46841|Valencia|677-632-521||ferrodrigo@correo.net|15/12/1951
183|16230596W|Francisco Javier|Martínez|Santana|H|Avenida Fotometría 91, 4º 6ª|Alacuás|Valencia|46902|Valencia|623-311-852||fra.martinez@correo.es|18/01/1955
184|44861405C|Jaime|Jiménez|Olivera|H|Plaza Inecuación Generosa 76, 5º|Alcira|Valencia|46102|Valencia|||jaijimenez33@email.com|12/10/1954
185|56511963C|Juan|Ramón|Gracia|H|Paseo de la Habladuría 259, 1º 4ª|Torrente|Valencia|46848|Valencia|697976120||ramon55@mail.com|26/01/1949
186|56766231T|Julián|Francisco|Ruiz|H|Avenida Único 111, 2º|Valencia|Valencia|46113|Valencia|639314570||julianfrancisco85@correo.com|09/05/1956
187|06666376X|Luis|Muñoz|López|H|Calle Medieval 39, 1º 6ª|Valencia|Valencia|46035|Valencia|||muñoz11@correo.es|30/06/1936
188|44205500Y|Manuel|Palacios|Fernández|H|Calle  Canción Ordenada 177, 6º 4ª|Valencia|Valencia|46882|Valencia|660075983||mpalacios@correo.es|21/08/1932
189|22008613M|María José|Casas|Moliner|M|Paseo el Icónico Santo 178, 1|Valencia|Valencia|46841|Valencia|684317273|967542182|mar.casas@email.com|18/01/1986
190|38659762M|Rubén|Ortega|Romero|H|Paseo Triptongo 273, 3|Valencia|Valencia|46322|Valencia|608200715||rubortega@correo.es|08/08/1958
191|53511993D|Cristina|Martínez|Rojas|M|Avenida  Admisión 5, 4º|Valladolid|Valladolid|47952|Castilla y León|699-464-774||cristinamartinez55@mail.net|28/11/1953
192|85062873H|Francisco Javier|Galera|Tudela|H|Avenida Deslizamiento Frío 170, 6º|Valladolid|Valladolid|47193|Castilla y León|||f.galera@correo.es|11/03/1939
193|54057227M|Marta|Valverde|Guisado|M|Calle Expresiva 171, 3º 4ª|Valladolid|Valladolid|47322|Castilla y León|625242920|983587915|martavalverde@mail.net|19/07/1996
194|12886287P|Marta|Ramis|Muñoz|M|Paseo de lo Abovedado Audaz 142, 1|Lejona|Vizcaya|48655|País Vasco|642495170||marramis62@email.net|06/10/1953
195|48712440G|María José|Martínez|Serra|M|Calle de  Reconocimiento Deportivo 135, 6º|Bilbao|Vizcaya|48133|País Vasco|690747457|943785677|martinez44@mail.es|28/12/1972
196|88501155F|María Rosario|García|Ribera|M|Avenida Flagelo 80, 1º 6ª|Bilbao|Vizcaya|48266|País Vasco|608292972||margarcia@email.com|22/08/1948
197|44525818A|Purificación|Rodríguez|Torres|M|Plaza Verbo 258, 2º 4ª|Bilbao|Vizcaya|48660|País Vasco|||rodriguez11@correo.es|01/05/1945
198|47694054N|Carmen|Castelo|Ibáñez|M|Avenida Tubérculo 163, 6º 1ª|Zaragoza|Zaragoza|50832|Aragón|639 839 470||carmencastelo@correo.net|12/01/1940
199|40169914T|María Ángeles|Benítez|Contreras|M|Calle de  Dibujo 207, 3º 4ª|Zaragoza|Zaragoza|50366|Aragón|||maribenitez62@mail.com|22/11/1967
200|63551397M|Miguel|Guerrero|López|H|Paseo Disciplina 245, 6|Zaragoza|Zaragoza|50624|Aragón|662-267-322|976-569-481|guerrero50@email.es|30/10/1976
